Region	EmployeeID
AB	3007
AE-00	3009
AK	3010
AL	3008
AR	3004
AZ	3010
BC	3006
BE	3010
CA	3007
CO	3002
CT	3006
DC	3008
DE	3006
FL	3003
GA	3007
GB-TOB	3004
GU	3001
HI	3007
IA	3010
ID	3004
IL	3006
IN	3010
KS	3005
KY	3001
LA	3007
MA	3001
MB	3001
MD	3009
ME	3008
MI	3008
MN	3010
MO	3006
MS	3006
MT	3008
NC	3010
ND	3005
NE	3008
NH	3010
NJ	3003
NM	3002
NS	3002
NT	3006
NV	3001
NY	3008
OH	3002
OK	3006
ON	3001
OR	3009
PA	3003
PR	3006
QC	3006
RI	3008
SC	3009
SD	3003
SK	3003
SLI	3001
TN	3004
TX	3001
UT	3003
VA	3005
VT	3003
WA	3003
WI	3008
WV	3006
WY	3004
