5834,American Assets Pub,7,89
2917,Arcadia Greens,38,109
1589,Imperial Bread,18,109
10079,Medite Cancer Cafe,6,89
11407,Phoenix Footwear,2,99
14324,Sound Kitchen,1,99
7162,Goff Bar,1,99
8513,Singing Machine,3,89
11384,Fedex Bar,2,99
2894,Berry Plastics Bar,7,89
23,Vesuvius Itallian,2,99
10056,Fidus Mezzanine Cal,2,99
1566,Afh Eating Vii,7,89
7185,"Purebase ",2,99
4460,United Bakery,38,109
1374,"Brightlane ",26,109
215,Innovaro,23,109
5788,Steams Bmw Beverage Lose Pub,13,109
1543,Smart Abs PΓtisserie,5,89
12781,Z Trim Eatings,3,89
46,Hub Chow,1,99
11453,Sterling Baker,9,109
1520,Fastenal Co,3,89
69,Cambium Learning,3,89
5811,Enerjex Fish,9,109
1397,Gci,8,109
192,Symbid Bar,4,89
7139,Fibrogen,1,99
12758,Harbinger,1,99
11430,Verifyme,1,99
12827,Cell CafΘ,1,99
3086,Bulova Bakes,16,109
5665,Advanced Photonix,20,109
2748,Vompass Bar,9,109
6993,Rand Mediterranean,1,99
12904,Tilden,1,99
4414,Frederick County Baker,17,109
1420,Worldcookery,9,109
11576,Refining Ally Edibles,1,99
14155,Cloud Star Outlet,1,99
2771,Team Nation Eatings,26,109
4314,Rigel Eaterys,7,89
4437,Press,19,109
11599,Investview,6,89
5642,Bar Jos A Clothiers,15,109
12804,Nava Fish,1,99
5765,Racket California Republic,1,99
14132,American Mineral,2,99
1443,Crocs,2,99
12927,Moneylogix,1,99
14470,Nano-Restaurant,1,99
1712,Paramount Supply,81,109
4291,Biotime,16,109
5619,One Bio Drive-in,8,109
3040,Petlife Grill,7,89
2794,Uncomplaining Bear Stearns,7,89
12950,Hawaiian Eatings,1,99
4122,"Igate ",3,89
14447,Wrestling,1,99
14278,Wiless Controls,1,99
1735,Qepcookeryi Icecream,12,109
2940,Constituents Strats Pub,6,89
14178,Fallopian Nuo,1,99
14424,Farmacia Bar,3,89
3063,Umami Sustainable Seafood,1,99
4268,Inspire Grill,1,99
2817,Racecourses CafΘ,6,89
14301,Resumen Minutes,1,99
4145,Reve Bakes,4,89
13096,Smart-Tek Cookery,1,99
5496,Clicker,9,109
1251,Solazyme,7,89
4168,Triton Pacific Salon,7,89
12658,Nv5 Eatings,1,99
10156,Mitcham Noodles,1,99
8828,Navidea,3,89
13986,Sinocoking& Coke,1,99
361,American Expressssuance,3,89
8390,Etsy,1,99
11722,Bwx Bakes,1,99
4560,Telkonet,3,89
3232,Sabine Eatery Bar,5,89
1689,Groveware Bakes,3,89
13050,Sunpeaks,2,99
7062,Southside Pub,1,99
2625,Computer Programs,43,109
11284,Grant Park Fishery,2,99
1297,Seagate Restaurant Plc,6,89
10202,Tenax Kitchens,3,89
12612,Chrysler,2,99
11530,Envoy Bar,1,99
6870,Genco Shipping & Trading,2,99
5542,Cal,8,109
315,Andes 9,6,89
4606,Ridgewoods Fun,10,109
10348,North Texas,3,89
11676,Global Future City,5,89
5688,Lts Nutraceuticals,1,99
7016,Ssi Salonsi,1,99
5934,Hondo Pizza Bar,1,99
6916,Labor Smart,15,109
4752,Omega Protein Pizzeria,6,89
8244,Americatowne,4,89
9910,Watsco,5,89
11238,Cinedigm Bar,7,89
169,Capsalus Bar,5,89
6080,Opc Residential,2,99
5980,Equinox Frontier Finds,1,99
10302,Aisystems,6,89
1105,Measurement Specialties,11,109
7308,Evans Baker,4,89
8974,Sprouts Farmers Market,1,99
12466,Servicemaster Co,1,99
11138,Ridgewoodt Fun,1,99
7208,Boldface,13,109
7454,Debt Resolve,23,109
6126,Westmorelandco,11,109
9618,Devices,1,99
8536,China Vitup Food Care,8,109
8290,Jarred Atlas Fish Public,1,99
